name,genre,country,seasons,episode_count,episode_minutes,started_broadcasting,finished_broadcasting
WWE Heat,Sports EntertainmentProfessional wrestling,United States,10,00513,60,1998-08-02,2008-05-30
Homicide,Police Drama,Australia,,00510,50,1964-10-20,1977-01-01
Blue Heelers,Police Drama,Australia,13,00510,50,1994-01-18,2006-06-04
E! True Hollywood Story,EntertainmentDocumentary,United States,11,00500,"60, 90",1996-01-011996,
Ohio Valley Wrestling TV,Sports EntertainmentProfessional wrestling,United States,,00500,60,1998-01-011998[58],
Alles was zählt,Soap opera,Germany,,00500,25,2006-09-04,
Baa Bahoo Aur Baby,ComedyDrama,India,,00500,22,2005-08-05,
I-Witness: The GMA Documentaries,Documentary,Philippines,,00500,60,1999-01-21,
CMT Most Wanted Live,Music video,United States,,00500,60,2001-05-28,2004-04-03
TOTP2,Archive chart music,United Kingdom,,00487,30,1994-02-07,
"Un gars, une fille",Sitcom,France,5,00485,"5, 8",1999-10-11,2003-10-16
The Simpsons,Animated Sitcom,United States,22,00504,30,1989-12-17,
Non è mai troppo tardi (TV program),Educational,Italy,,00484, ,1960-11-15,1968-01-011968
Na dobre i na złe,Medical drama,Poland,13,00483,60,1999-11-07,
Sous le soleil,Soap opera,France,,00480,60,1996-01-011996,2008-12-28
Pangako sa ’Yo,DramaRomance,Philippines,,00480,30,2000-11-13,2002-09-20
Esperanza,DramaRomance,Philippines,,00480,"30, 45",1997-01-011997,1999-07-01
All Saints,Drama,Australia,12,00471,60,1998-01-011998,
Generations,Soap opera,United States,,00470,30,1989-03-27,1991-01-25
Mamta,Drama,India,01,00457,30,2006-02-28,2007-10-25
The One Show,Magazine,United Kingdom,,00456,30,2006-08-14,
Alfred Hitchcock Presents,DramaMysteryMelodrama,United States,14,00456,"30, 60",1955-10-02,1965-05-10
Law &amp; Order,Drama,United States,20,00456,60,1990-09-13,2010-05-24
Holby City,Medical Drama,United Kingdom,11,00455,60,1999-01-12,
Dragnet- Original series,Drama,United States,08,00450,30,1951-01-011951,1959-01-011959
Dragnet- Second run,Drama,United States,08,00450,30,1967-01-011967,1970-01-011970
Dragnet- Third run,Drama,United States,08,00450,30,1989-01-011989,1991-01-011991
Dragnet- Final run,Drama,United States,08,00450,30,2003-01-012003,2004-01-012004
Naruto,Anime,Japan,09,00449,30,2002-10-03,2007-02-08
Naruto Shippuden,Anime,Japan,10,00449,30,2007-02-15,
America's Funniest Home Videos,Funny videos,United States,20,00448,"30, 60",1990-01-14,
Fan Pan Tae,Quiz show,Thailand,,00444,65,2000-09-01,
Virtues of Harmony II,Sitcom,Hong Kong,,00443,20,2003-05-05,2005-01-22
The Magic Roundabout,Children's television series,France,,00441,5,1965-10-18,1977-01-01
Nada Personal,Telenovela,Mexico,,00440,30,1996-01-011996,1996-01-011996
Rebelde,Telenovela,Mexico,,00440, ,2005-03-21,2006-12-15
The Real World,Reality,United States,25,00436,30,1992-05-21,
The Adventures of Ozzie and Harriet,Sitcom,United States,14,00435,30,1952-10-03,1966-09-03
Breakers,Soap opera,Australia,,00430,25,1998-02-02,1999-11-03
Bonanza,Western,United States,14,00430,60,1959-09-12,1973-01-19
GeGeGe no Kitaro- Original series,Anime,Japan,05,00429, ,1968-01-03,1969-03-30
GeGeGe no Kitaro- Second run,Anime,Japan,05,00429, ,1971-10-07,1972-09-28
GeGeGe no Kitaro- Third run,Anime,Japan,05,00429, ,1985-10-12,1988-03-21
GeGeGe no Kitaro- Fourth run,Anime,Japan,05,00429, ,1996-01-07,1998-03-29
GeGeGe no Kitaro- Fifth run,Anime,Japan,05,00429, ,2007-04-01,2009-03-29
Return to Peyton Place,Soap opera,United States,,00426,30,1972-04-03,1974-01-04
The Smurfs,Children's,United States,09,00421,22,1981-09-12,1990-08-25
Dream Team,Drama,United Kingdom,,00419,60,1997-10-14,2007-06-03
Malanowski i partnerzy,Docu-crime,Poland,08,00414,25,2009-02-09,
"Un, dos, tres... responda otra vez",Game show,Spain,10,00411, ,1972-04-24,2004-06-11
E Street,Soap opera,Australia,,00404,6030,1989-01-01,1983-05-01
American Idol,Reality Show,United States,010,00398, ,2002-06-11,
The Nurses,Soap opera,United States,,00395,30,1965-09-27,1967-03-31
Świat według Kiepskich,Sitcom,Poland,15,00392,25,1999-03-16,
